ID,Film Name,Date,Genres,Top Actors,Director,Writer,Creator (If writer isn't found)Book,Budget,Gross US,Gross World,Rating,Votes
tt7335184,You,2018,Crime | Drama | Romance,Penn Badgley | Victoria Pedretti | Ambyr Childers | Elizabeth Lail,NotFound,NotFound,Sera Gamble,NotFound,NotFound,NotFound,NotFound," 7,7", 259333 votes
tt15679400,Knock at the Cabin,2023,Horror | Mystery | Thriller,Dave Bautista | Jonathan Groff | Ben Aldridge | Nikki Amuka-Bird,M. Night Shyamalan,Paul Tremblay,Sera Gamble,['The Cabin at the End of the World'],"$20 000 000
","$33 904 100
","$52 066 100
"," 6,2", 37360 votes
tt0944947,Game of Thrones,20112019,Action | Adventure | Drama,Peter Dinklage | Lena Headey | Emilia Clarke | Kit Harington,NotFound,NotFound,David Benioff,NotFound,NotFound,NotFound,NotFound," 9,2", 2130969 votes
tt2403776,Shadow and Bone,2021,Action | Adventure | Drama,Jessie Mei Li | Archie Renaux | Freddy Carter | Amita Suman,NotFound,NotFound,Eric Heisserer,NotFound,NotFound,NotFound,NotFound," 7,6", 89603 votes
tt1016150,All Quiet on the Western Front,2022,Action | Drama | War,Felix Kammerer | Albrecht Schuch | Aaron Hilmer | Moritz Klaus,Edward Berger,Edward Berger,Eric Heisserer,[],NotFound,NotFound,NotFound," 7,8", 153021 votes
tt12593682,Bullet Train,2022,Action | Comedy | Thriller,Brad Pitt | Joey King | Aaron Taylor-Johnson | Brian Tyree Henry,David Leitch,Zak Olkewicz,Eric Heisserer,[],"$85 900 000
","$103 368 602
","$239 268 602
"," 7,3", 304991 votes
tt13669038,Women Talking,2022,Drama,Rooney Mara | Judith Ivey | Emily Mitchell | Kate Hallett,Sarah Polley,Sarah Polley,Eric Heisserer,[],NotFound,NotFound,NotFound," 7,1", 10322 votes
tt6160448,White Noise,,Comedy | Drama | Horror,Don Cheadle | Madison Gaughan | Douglas Brodax | Carly Brodax,Noah Baumbach,Noah Baumbach,Eric Heisserer,[],NotFound,NotFound,NotFound," 5,7", 34528 votes
tt4276618,C.B. Strike,2017,Crime | Drama | Mystery,Tom Burke | Holliday Grainger | Kerr Logan | Jack Greenlees,Susan Tully,Tom Edge,Eric Heisserer,[],NotFound,NotFound,NotFound," 7,9", 19205 votes
tt11198330,House of the Dragon,2022,Action | Adventure | Drama,Rhys Ifans | Matt Smith | Fabien Frankel | Graham McTavish,NotFound,NotFound,Ryan J. Condal,NotFound,NotFound,NotFound,NotFound," 8,5", 313091 votes
tt7817340,New Amsterdam,20182023,Drama,Ryan Eggold | Janet Montgomery | Jocko Sims | Tyler Labine,Michael Slovis,Joshua Carlebach,Ryan J. Condal,[],NotFound,NotFound,NotFound, 8, 43173 votes
tt7405458,A Man Called Otto,2022,Comedy | Drama,Tom Hanks | John Higgins | Tony Bingham | Lily Kozub,Marc Forster,David Magee,Ryan J. Condal,[],"$50 000 000
","$62 283 028
","$103 483 028
"," 7,6", 18469 votes
tt13802576,Lockwood & Co,2023,Action | Adventure | Drama,Ruby Stokes | Cameron Chapman | Ali Hadji-Heshmati | Jack Bandeira,William McGregor,Joe Cornish,Ryan J. Condal,[],NotFound,NotFound,NotFound," 7,5", 14966 votes
tt0241527,Harry Potter and the Sorcerer's Stone,2001,Adventure | Family | Fantasy,Richard Harris | Maggie Smith | Robbie Coltrane | Saunders Triplets,Chris Columbus,J.K. Rowling,Ryan J. Condal,[],"$125 000 000
","$318 886 962
","$1 023 842 938
"," 7,6", 795664 votes
tt0844441,True Blood,20082014,Drama | Fantasy | Mystery,Anna Paquin | Stephen Moyer | Sam Trammell | Ryan Kwanten,NotFound,NotFound,Alan Ball,NotFound,NotFound,NotFound,NotFound," 7,9", 249172 votes
tt14138650,The Pale Blue Eye,2022,Crime | Horror | Mystery,Christian Bale | Harry Melling | Simon McBurney | Timothy Spall,Scott Cooper,Scott Cooper,Alan Ball,[],NotFound,NotFound,NotFound," 6,6", 90632 votes
tt3006802,Outlander,2014,Drama | Fantasy | Romance,Caitríona Balfe | Sam Heughan | Sophie Skelton | Richard Rankin,NotFound,NotFound,Ronald D. Moore,NotFound,NotFound,NotFound,NotFound," 8,4", 162851 votes
tt26160190,Unlocked,2023,Crime | Drama | Mystery,Si-wan Yim | Woo-hee Chun | Tim Dang | Ell,Tae-joon Kim,Akira Shiga,Ronald D. Moore,[],NotFound,NotFound,NotFound," 6,4", 2795 votes
tt0068646,The Godfather,1972,Crime | Drama,Marlon Brando | Al Pacino | James Caan | Richard S. Castellano,Francis Ford Coppola,Mario Puzo,Ronald D. Moore,[],"$6 000 000
","$136 381 073
","$250 341 816
"," 9,2", 1880309 votes
tt7631058,The Lord of the Rings: The Rings of Power,2022,Action | Adventure | Drama,Morfydd Clark | Ismael Cruz Cordova | Charlie Vickers | Markella Kavenagh,NotFound,NotFound,Patrick McKay,NotFound,NotFound,NotFound,NotFound," 6,9", 321829 votes
tt4179452,The Last Kingdom,20152022,Action | Drama | History,Alexander Dreymon | Eliza Butterworth | Arnas Fedaravicius | Mark Rowley,Jon East,Lydia Adetunji,Patrick McKay,[],NotFound,NotFound,NotFound," 8,5", 145116 votes
tt0118401,Midsomer Murders,1997,Crime | Drama | Mystery,John Nettles | Jane Wymark | Barry Jackson | Neil Dudgeon,NotFound,NotFound,Caroline Graham,NotFound,NotFound,NotFound,NotFound," 7,9", 34926 votes
